Year,ISO Code,Countries,Government consumption,Government investment,Size of Government,Regulatory trade barriers,Financial openness,Controls of the movement of capital and people,Credit market regulations,Hiring regulations and minimum wage,Freedom to enter markets and compete,Regulation
2021,GAB,Gabon,4.21,10.0,6.52,3.46,2.07,3.3,8.33,3.62,3.09,5.37
2021,GBR,United Kingdom,3.82,9.14,6.1,8.19,10.0,7.96,7.37,8.2,8.69,7.75
2021,GEO,Georgia,7.54,5.68,7.4,7.67,8.75,7.54,7.71,5.83,8.08,7.4
2021,GHA,Ghana,8.11,10.0,8.29,4.33,2.5,3.02,7.21,7.5,6.83,6.11
2021,GIN,Guinea,6.03,8.27,6.16,3.23,2.5,1.84,9.4,4.67,5.19,5.89
2021,GMB,"Gambia, The",8.51,6.15,8.05,4.73,5.28,4.57,9.45,5.0,6.28,7.05
2021,GNB,Guinea-Bissau,7.57,2.97,7.45,4.66,0.82,1.02,6.88,3.68,5.04,4.96
2021,GRC,Greece,4.66,6.51,4.79,8.36,8.71,7.1,7.35,6.05,7.27,6.32
2021,GTM,Guatemala,8.35,10.0,9.04,7.18,8.75,5.66,9.56,5.42,7.35,6.7
2021,GUY,Guyana,5.41,0.0,3.86,3.53,6.79,4.34,4.67,8.2,7.24,5.83
2021,HKG,"Hong Kong SAR, China",7.0,6.13,7.92,9.41,10.0,6.73,8.8,8.75,9.65,8.64
2021,HND,Honduras,7.44,10.0,8.87,5.22,3.32,2.61,8.97,2.5,6.53,6.31
2021,HRV,Croatia,3.56,7.83,5.53,8.76,6.71,6.46,8.98,4.67,6.75,6.83
2021,HTI,Haiti,9.67,7.54,8.2,5.81,8.75,5.19,7.71,7.08,6.01,6.02
2021,HUN,Hungary,2.89,7.71,5.96,8.49,10.0,7.71,8.1,6.12,6.31,6.63
2021,IDN,Indonesia,7.61,10.0,8.13,5.21,5.84,2.87,7.89,4.3,5.32,5.91
2021,IND,India,7.14,7.4,7.64,6.36,2.42,2.46,5.61,6.35,6.65,5.98
2021,IRL,Ireland,1.73,10.0,6.4,8.5,10.0,8.89,9.19,8.2,8.21,8.2
2021,IRN,"Iran, Islamic Rep.",4.47,9.37,6.59,3.52,0.0,0.68,6.41,5.13,4.61,4.49
2021,IRQ,Iraq,2.94,0.41,4.93,3.98,7.5,3.7,9.5,4.87,5.24,5.87
2021,ISL,Iceland,1.54,9.8,5.98,8.26,9.1,7.33,4.92,7.78,8.36,7.12
2021,ISR,Israel,2.64,10.0,6.05,7.65,10.0,8.66,9.58,7.57,7.63,7.33
2021,ITA,Italy,4.35,10.0,5.43,9.0,10.0,6.11,8.95,5.28,6.73,6.89
2021,JAM,Jamaica,6.34,10.0,7.92,5.88,4.57,5.84,9.08,6.95,8.28,7.54
2021,JOR,Jordan,6.44,7.86,7.44,6.9,8.75,5.36,8.73,6.38,7.71,7.55
2021,JPN,Japan,3.39,8.31,5.62,7.8,10.0,6.77,8.05,8.2,8.22,7.82
